anchor_id,selected_k,split,branch,num_samples,median_response_cosine,q25_response_cosine,contact_mode_purity,matrix
1375,6,hold_eps003,0,14,0.9923987773089281,0.9754953777309185,0.5714285714285714,"[[-0.0550322785799584,-0.02889255874370808,-0.026469954813877834,0.012999378817044351,-0.024456370713787735,0.00714654346624208],[-0.15250048419828663,-0.07605487596346594,-0.12191892404323072,0.0626028772794214,-0.1512977224426111,-0.019238969656584747],[-0.03787059051161218,-0.018468913284390362,-0.03544484683401321,0.018339301006385346,-0.04643777122374111,-0.008958752540122631]]"
1375,6,hold_eps003,1,23,0.992228917991701,0.9811223210206718,0.7391304347826086,"[[-0.033293522507247215,0.06298837312939505,0.008890984506222808,0.01993141167160883,0.059610718111278105,0.03192235660927475],[-0.119111038972417,0.2302078551493556,-0.005073547645330756,0.05887404970459805,0.1875222658532504,0.12149265790743166],[-0.03243251641908503,0.06310203399649232,-0.004420617971383731,0.014989728971180696,0.04892016532838336,0.03372097020456528]]"
1375,6,hold_eps003,2,12,,,0.8333333333333334,"[[0.0007925037925038751,0.0003496917692807096,-0.0005220126204008721,0.00021237457808671002,-0.0003851669372256847,-0.0004911618514035517],[0.001945378163072282,0.0007432115037654421,-0.0008620969378451324,0.0003727308440675306,-0.0009810675945115717,-0.0011620324737837257],[0.00045581331752222754,0.00016237886274960827,-0.00015245890536414816,6.985488955171438e-05,-0.0002331310786037079,-0.000268298740013013]]"
1375,6,hold_eps003,3,20,0.9997555750186536,0.9887654635959487,0.7,"[[0.030515434418118586,0.014010390684135534,0.019836914078345834,-0.012480528436649336,-0.032255138241985344,0.012877084888116903],[0.15166958230896088,0.07061604329682165,0.08912838878148913,-0.06508881564085249,-0.15761026568130568,0.06302022519557064],[0.04487496434243555,0.02087996165766453,0.025761544413093116,-0.01939737949706712,-0.04629728659354503,0.018532029212478523]]"
1375,6,hold_eps003,4,12,0.9999987610544605,0.9999775788336729,0.5,"[[0.03537140580490114,-0.009201768307160444,-0.0011260536282768437,0.0006475817148787375,0.004898156061455839,-0.0398495556687428],[0.18726692408701803,-0.0483967157341701,-0.006953897261370165,0.0042434511702865016,0.0276960704508477,-0.21306983779504576],[0.05592581907292786,-0.014453598515003545,-0.002208156494199741,0.0013127885775827998,0.00843065070984107,-0.06382285604801692]]"
1375,6,hold_eps003,5,11,0.9928106805882702,0.9665345450481685,0.7272727272727273,"[[-0.009789285987655055,0.0003997150158548974,0.04597070863716337,0.028778735561157304,0.026300111654956295,-0.027482722138775232],[-0.0287906091328521,0.0151399227155827,0.17622252649252093,0.11826048751936195,0.11599243815738135,-0.1309312146996324],[-0.007293774718614203,0.005208857192220299,0.04894037947086557,0.03345039883357336,0.03329629911979088,-0.038364258259159116]]"
1375,6,hold_eps010,0,16,0.9909563007471345,0.9307339982974544,0.6875,"[[-0.0550322785799584,-0.02889255874370808,-0.026469954813877834,0.012999378817044351,-0.024456370713787735,0.00714654346624208],[-0.15250048419828663,-0.07605487596346594,-0.12191892404323072,0.0626028772794214,-0.1512977224426111,-0.019238969656584747],[-0.03787059051161218,-0.018468913284390362,-0.03544484683401321,0.018339301006385346,-0.04643777122374111,-0.008958752540122631]]"
1375,6,hold_eps010,1,4,0.9900613757061301,0.9845460199770815,0.5,"[[-0.033293522507247215,0.06298837312939505,0.008890984506222808,0.01993141167160883,0.059610718111278105,0.03192235660927475],[-0.119111038972417,0.2302078551493556,-0.005073547645330756,0.05887404970459805,0.1875222658532504,0.12149265790743166],[-0.03243251641908503,0.06310203399649232,-0.004420617971383731,0.014989728971180696,0.04892016532838336,0.03372097020456528]]"
1375,6,hold_eps010,2,39,0.9778389378822742,0.9778389378822742,0.6153846153846154,"[[0.0007925037925038751,0.0003496917692807096,-0.0005220126204008721,0.00021237457808671002,-0.0003851669372256847,-0.0004911618514035517],[0.001945378163072282,0.0007432115037654421,-0.0008620969378451324,0.0003727308440675306,-0.0009810675945115717,-0.0011620324737837257],[0.00045581331752222754,0.00016237886274960827,-0.00015245890536414816,6.985488955171438e-05,-0.0002331310786037079,-0.000268298740013013]]"
1375,6,hold_eps010,3,13,0.9995731477291439,0.9981329642744272,0.7692307692307693,"[[0.030515434418118586,0.014010390684135534,0.019836914078345834,-0.012480528436649336,-0.032255138241985344,0.012877084888116903],[0.15166958230896088,0.07061604329682165,0.08912838878148913,-0.06508881564085249,-0.15761026568130568,0.06302022519557064],[0.04487496434243555,0.02087996165766453,0.025761544413093116,-0.01939737949706712,-0.04629728659354503,0.018532029212478523]]"
1375,6,hold_eps010,4,10,0.9996735586480521,0.9752278570352948,0.6,"[[0.03537140580490114,-0.009201768307160444,-0.0011260536282768437,0.0006475817148787375,0.004898156061455839,-0.0398495556687428],[0.18726692408701803,-0.0483967157341701,-0.006953897261370165,0.0042434511702865016,0.0276960704508477,-0.21306983779504576],[0.05592581907292786,-0.014453598515003545,-0.002208156494199741,0.0013127885775827998,0.00843065070984107,-0.06382285604801692]]"
1375,6,hold_eps010,5,10,0.9959498350173726,0.9886317776612911,0.6,"[[-0.009789285987655055,0.0003997150158548974,0.04597070863716337,0.028778735561157304,0.026300111654956295,-0.027482722138775232],[-0.0287906091328521,0.0151399227155827,0.17622252649252093,0.11826048751936195,0.11599243815738135,-0.1309312146996324],[-0.007293774718614203,0.005208857192220299,0.04894037947086557,0.03345039883357336,0.03329629911979088,-0.038364258259159116]]"
1516,5,train_eps003,0,40,,,0.85,"[[0.0007846106939072421,0.0026808714768396837,-0.0028693164069616235,0.0023194791643035696,-0.0028821600357629026,0.0004392904594857171],[0.006778020388166167,0.0025724529564029814,-0.001364351393309799,0.0008141868200186544,-0.001290083966121586,-0.003722528012452754],[0.0031172016665292593,0.0016564484892305834,-0.0014833460490443501,0.0015497861578458144,-0.002474902000130791,-0.0011635792817329498]]"
