anchor_id,selected_k,variant,split,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy,status
11030,6,post_contact_oracle,hold_eps010,0.29347826086956524,0.3064516129032258,0.10011883541295306,0.33695652173913043,0.16666666666666666,ok
11030,6,direction_plus_post_contact_oracle,hold_eps003,0.7391304347826086,0.7861072261072262,0.7851386708529565,0.2717391304347826,0.16666666666666666,ok
11030,6,direction_plus_post_contact_oracle,hold_eps010,0.41304347826086957,0.3796541371810189,0.31153552330022916,0.33695652173913043,0.16666666666666666,ok
11438,6,direction_deployable,hold_eps003,0.3804347826086957,0.28035714285714286,0.24978693503785307,0.2608695652173913,0.16666666666666666,ok
11438,6,direction_deployable,hold_eps010,0.03260869565217391,0.06613756613756613,0.03341013824884793,0.358695652173913,0.16666666666666666,ok
11438,6,post_contact_oracle,hold_eps003,0.2826086956521739,0.287962962962963,0.1625143184421535,0.2608695652173913,0.16666666666666666,ok
11438,6,post_contact_oracle,hold_eps010,0.1956521739130435,0.20075757575757577,0.10442260442260443,0.358695652173913,0.16666666666666666,ok
11438,6,direction_plus_post_contact_oracle,hold_eps003,0.44565217391304346,0.41415343915343916,0.38566814322628273,0.2608695652173913,0.16666666666666666,ok
11438,6,direction_plus_post_contact_oracle,hold_eps010,0.1956521739130435,0.14189514189514188,0.13242313242313242,0.358695652173913,0.16666666666666666,ok
11603,6,direction_deployable,hold_eps003,0.391304347826087,0.3961701040505388,0.3588015245623941,0.25,0.16666666666666666,ok
11603,6,direction_deployable,hold_eps010,0.11956521739130435,0.14585409745293465,0.11741004093945272,0.4673913043478261,0.16666666666666666,ok
11603,6,post_contact_oracle,hold_eps003,0.3695652173913043,0.28125,0.1674683341350008,0.25,0.16666666666666666,ok
11603,6,post_contact_oracle,hold_eps010,0.4891304347826087,0.23982558139534885,0.18200330915107546,0.4673913043478261,0.16666666666666666,ok
11603,6,direction_plus_post_contact_oracle,hold_eps003,0.5108695652173914,0.473743496841323,0.4705067066882483,0.25,0.16666666666666666,ok
